Treat,Rep,Section,Dead,FishIn,FishOut
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,11,3,1,28,24
10,11,3,1,28,24
10,11,3,1,28,24
10,11,3,1,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,12,2,1,27,23
10,12,2,1,27,23
10,12,2,1,27,23
10,12,2,1,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,14,3,1,24,20
14.5,14,3,1,24,20
14.5,14,3,1,24,20
14.5,14,3,1,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,15,2,1,23,21
14.5,15,2,1,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,17,2,1,17,15
21,17,2,1,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,18,3,1,17,15
21,18,3,1,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
