Treat,Rep,Mortality
6.5,7,1
6.5,7,1
6.5,7,1
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,7,0
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,1
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,8,0
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,1
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
6.5,9,0
